DepMap_ID,pubchem,Z_SCORE,ActArea
ACH-000558,644241,-0.955878579,0
ACH-000245,644241,-0.955878579,0
ACH-000244,644241,-0.955878579,0
ACH-000102,644241,-0.955878579,0
ACH-000987,644241,-0.955878579,0
ACH-000414,644241,-0.955878579,0
ACH-000062,644241,-0.955878579,0
ACH-000905,10461815,-0.955878579,0
ACH-001307,10461815,-0.955878579,0
ACH-000245,10461815,-0.955878579,0
ACH-000009,10461815,-0.955878579,0
ACH-000464,10461815,-0.955878579,0
ACH-000936,10461815,-0.955878579,0
ACH-000738,10461815,-0.955878579,0
ACH-000148,10461815,-0.955878579,0
ACH-000178,10461815,-0.955878579,0
ACH-000855,10461815,-0.955878579,0
ACH-000019,10461815,-0.955878579,0
ACH-000876,10461815,-0.955878579,0
ACH-000449,10461815,-0.955878579,0
ACH-000678,10461815,-0.955878579,0
ACH-000514,10461815,-0.955878579,0
ACH-000496,10461815,-0.955878579,0
ACH-000521,10461815,-0.955878579,0
ACH-000965,10461815,-0.955878579,0
ACH-000410,10461815,-0.955878579,0
ACH-000609,10461815,-0.955878579,0
ACH-000790,10461815,-0.955878579,0
ACH-000932,10461815,-0.955878579,0
ACH-000651,10461815,-0.955878579,0
ACH-000040,10461815,-0.955878579,0
ACH-000558,208908,-0.955878579,0
ACH-000580,208908,-0.955878579,0
ACH-000805,208908,-0.955878579,0
ACH-000098,208908,-0.955878579,0
ACH-000111,208908,-0.955878579,0
ACH-000449,208908,-0.955878579,0
ACH-000987,208908,-0.955878579,0
ACH-000226,208908,-0.955878579,0
ACH-000651,208908,-0.955878579,0
ACH-000720,208908,-0.955878579,0
ACH-000522,208908,-0.955878579,0
ACH-000570,208908,-0.955878579,0
ACH-000905,216345,-0.955878579,0
ACH-000580,216345,-0.955878579,0
ACH-000832,216345,-0.955878579,0
ACH-000936,216345,-0.955878579,0
ACH-000012,216345,-0.955878579,0
ACH-000910,216345,-0.955878579,0
ACH-000987,216345,-0.955878579,0
ACH-000414,216345,-0.955878579,0
ACH-000945,216345,-0.955878579,0
ACH-000062,216345,-0.955878579,0
ACH-000437,216345,-0.955878579,0
ACH-000720,216345,-0.955878579,0
ACH-000430,216345,-0.955878579,0
ACH-000580,10302451,-0.955878579,0
ACH-000386,10302451,-0.955878579,0
ACH-000514,10302451,-0.955878579,0
ACH-000945,10302451,-0.955878579,0
ACH-000614,10302451,-0.955878579,0
ACH-000361,10302451,-0.955878579,0
ACH-000810,10302451,-0.955878579,0
ACH-000226,10302451,-0.955878579,0
ACH-000828,10302451,-0.955878579,0
ACH-000151,11626560,-0.955878579,0
ACH-000414,11626560,-0.955878579,0
ACH-000378,11626560,-0.955878579,0
ACH-000304,11626560,-0.955878579,0
ACH-000649,5479543,-0.955878579,0
ACH-000681,5479543,-0.955878579,0
ACH-000046,5479543,-0.955878579,0
ACH-000245,5479543,-0.955878579,0
ACH-000832,5479543,-0.955878579,0
ACH-000107,5479543,-0.955878579,0
ACH-000963,5479543,-0.955878579,0
ACH-000662,5479543,-0.955878579,0
ACH-000211,5479543,-0.955878579,0
ACH-000863,5479543,-0.955878579,0
ACH-000244,5479543,-0.955878579,0
ACH-000936,5479543,-0.955878579,0
ACH-000098,5479543,-0.955878579,0
ACH-000047,5479543,-0.955878579,0
ACH-000102,5479543,-0.955878579,0
ACH-000843,5479543,-0.955878579,0
ACH-000878,5479543,-0.955878579,0
ACH-000930,5479543,-0.955878579,0
