pubchem	IC50	DrugName	DrugID
9863776	-0.60596	(5Z)-7-Oxozeaenol	1242
3385	1.1236	5-Fluorouracil	179
10172943	-2.3385	A-443654	86
9549184	1.8731	A-770041	55
65110	6.1928	AICA Ribonucleotide	1001
10196499	0.96012	AKT inhibitor VIII	171
6918848	-2.3664	AR-42	272
10109823	0.8995	AS601245	207
5289247	1.1342	AS605240	224
11338033	-1.7295	AT-7519	219
11676786	-0.034145	AZ628	29
44137675	0.71712	AZD6482	156
11152667	-2.2742	AZD7762	1022
25262965	-1.2703	AZD8055	1059
10184653	-0.22156	Afatinib	1032
49806720	2.9319	Alectinib	281
11282283	2.178	Amuvatinib	293
46883536	3.9907	Avagacestat	205
6450551	0.41918	Axitinib	1021
10200390	0.21279	BAY-61-3606	178
11364421	-4.0077	BI-2536	60
46931012	2.7699	BIX02189	279
9813758	1.8541	BMS-345541	203
20635522	1.5906	BMS-509744	63
10390396	-0.40222	BMS-536924	62
24785538	-1.1641	BMS-754807	184
11754511	0.74305	BX-912	222
10077147	0.37752	BX795	1037
6918638	-1.8784	Belinostat	274
82146	2.0167	Bexarotene	186
2375	1.8801	Bicalutamide	150
5460769	-1.4805	Bleomycin	190
387447	-7.6275	Bortezomib	104
5328940	-0.14537	Bosutinib	1019
5280757	-3.9017	Bryostatin 1	197
24951314	-1.1523	CAY10603	276
5327091	1.6851	CCT-018159	1170
2314623	3.1306	CCT007093	1067
24825971	1.202	CGP-082996	54
644215	-3.6524	CGP-60474	53
9956119	2.0114	CHIR-99021	154
6918454	0.63883	CI-1040	1015
16663089	0.35105	CMK	64
44551660	0.91394	CP466722	152
9874913	3.257	CP724714	255
24756910	-2.4009	CUDC-101	273
25257557	3.6663	CX-5461	300
25102847	1.1741	Cabozantinib	249
85668777	5.144	Cetuximab	1114
84691	1.3801	Cisplatin	1005
11626560	1.2531	Crizotinib	37
6253	-1.9516	Cytarabine	1006
560326	4.4041	DMOG	165
44462760	1.9424	Dabrafenib	1373
6445533	-4.1809	Dacinostat	200
11977753	-3.9866	Dactolisib	1057
6914657	-7.1803	Daporinad	1248
3062316	-0.28739	Dasatinib	51
148124	-6.897	Docetaxel	1007
156422	3.1334	Doramapimod	1042
31703	-3.9565	Doxorubicin	133
9938202	2.4876	EHT-1864	1069
300471	-5.3392	Elesclomol	1031
3218	1.5946	Embelin	172
4261	-1.2652	Entinostat	88
176167	1.0593	Enzastaurin	229
448013	-7.4389	Epothilone B	201
176870	1.5671	Erlotinib	1
